tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227811,120.67022515118877,False,False,True,False,False,False,False,False,False,False
14227813,379.2614622483175,False,False,False,True,False,False,False,False,False,False
14227834,1569.138241725117,False,False,False,False,False,True,False,False,False,False
14227835,581.982334119492,False,False,False,False,True,False,False,False,False,False
14227838,771.1084570073954,False,False,False,False,True,False,False,False,False,False
14227841,387.9234401841878,False,False,False,True,False,False,False,False,False,False
14227842,664.758216739497,False,False,False,False,True,False,False,False,False,False
14227844,1550.7576029408788,False,False,False,False,False,True,False,False,False,False
14227846,57.274187229895595,False,True,False,False,False,False,False,False,False,False
14227849,1471.7602145800481,False,False,False,False,True,False,False,False,False,False
14227850,710.1861267641945,False,False,False,False,True,False,False,False,False,False
14227854,1260.3420247500721,False,False,False,False,True,False,False,False,False,False
14227855,228.15621985972197,False,False,False,True,False,False,False,False,False,False
14227856,637.104133776816,False,False,False,False,True,False,False,False,False,False
14227857,572.8922474583907,False,False,False,False,True,False,False,False,False,False
14227858,98.43787401263755,False,True,False,False,False,False,False,False,False,False
14227860,1499.9951070564998,False,False,False,False,True,False,False,False,False,False
14227861,225.0957219873773,False,False,False,True,False,False,False,False,False,False
14227862,1211.9601722662678,False,False,False,False,True,False,False,False,False,False
14227863,1130.4552265460222,False,False,False,False,True,False,False,False,False,False
14227865,599.5626999516888,False,False,False,False,True,False,False,False,False,False
14227866,562.0261164708814,False,False,False,False,True,False,False,False,False,False
14227870,554.10818083896,False,False,False,False,True,False,False,False,False,False
14227871,11.85258140832,True,False,False,False,False,False,False,False,False,False
14227872,2564.781618,False,False,False,False,False,True,False,False,False,False
14227874,12419.456006944,False,False,False,False,False,False,False,False,True,False
14227880,1132.2880294083457,False,False,False,False,True,False,False,False,False,False
14227881,1141.153695212934,False,False,False,False,True,False,False,False,False,False
14227882,386.7999608105852,False,False,False,True,False,False,False,False,False,False
14227883,533.6163560915326,False,False,False,False,True,False,False,False,False,False
14227884,572.4175883482669,False,False,False,False,True,False,False,False,False,False
14227890,551.086061581206,False,False,False,False,True,False,False,False,False,False
14227891,231.1372143807508,False,False,False,True,False,False,False,False,False,False
14227900,988.957,False,False,False,False,True,False,False,False,False,False
14227906,71.3571597933,False,True,False,False,False,False,False,False,False,False
14227907,115.74240813899999,False,False,True,False,False,False,False,False,False,False
14227908,87.5272853695825,False,True,False,False,False,False,False,False,False,False
14227910,1071.7793542088684,False,False,False,False,True,False,False,False,False,False
14227915,1567.8184790735415,False,False,False,False,False,True,False,False,False,False
14227916,12031.828920969001,False,False,False,False,False,False,False,False,True,False
14227944,1.08899989,True,False,False,False,False,False,False,False,False,False
14227945,1.08789989,True,False,False,False,False,False,False,False,False,False
14227946,1283.81297967771,False,False,False,False,True,False,False,False,False,False
14227947,1685.218909787413,False,False,False,False,False,True,False,False,False,False
14227948,401.383055698759,False,False,False,True,False,False,False,False,False,False
14227949,1360.007926852467,False,False,False,False,True,False,False,False,False,False
14227950,709.654312353518,False,False,False,False,True,False,False,False,False,False
14227951,887.4624881402779,False,False,False,False,True,False,False,False,False,False
14227952,1.08679989,True,False,False,False,False,False,False,False,False,False
14227953,1248.3777820810783,False,False,False,False,True,False,False,False,False,False
14227954,1344.1566716698571,False,False,False,False,True,False,False,False,False,False
14227955,1546.5191399587663,False,False,False,False,False,True,False,False,False,False
14227956,1.08638549968366,True,False,False,False,False,False,False,False,False,False
14227957,624.1774091148112,False,False,False,False,True,False,False,False,False,False
14227958,1317.484010976155,False,False,False,False,True,False,False,False,False,False
14227959,1020.9906628652527,False,False,False,False,True,False,False,False,False,False
14227960,1498.207688894117,False,False,False,False,True,False,False,False,False,False
14227961,1.0856998900000001,True,False,False,False,False,False,False,False,False,False
14227963,1104.54976272928,False,False,False,False,True,False,False,False,False,False
14227964,1026.639095562542,False,False,False,False,True,False,False,False,False,False
14227965,268.3282468171854,False,False,False,True,False,False,False,False,False,False
14227967,2401.314133264384,False,False,False,False,False,True,False,False,False,False
14227968,40.4320445567576,True,False,False,False,False,False,False,False,False,False
14227969,808.6363073089121,False,False,False,False,True,False,False,False,False,False
14227970,1822.405311225576,False,False,False,False,False,True,False,False,False,False
14227971,1765.20214542482,False,False,False,False,False,True,False,False,False,False
14227972,1105.4685776863423,False,False,False,False,True,False,False,False,False,False
14227973,1286.9192022598531,False,False,False,False,True,False,False,False,False,False
14227974,528.5731363773648,False,False,False,False,True,False,False,False,False,False
14227975,1093.6320992921865,False,False,False,False,True,False,False,False,False,False
14227976,1946.6315745069144,False,False,False,False,False,True,False,False,False,False
14227977,539.4149224203916,False,False,False,False,True,False,False,False,False,False
14227978,773.1285176921151,False,False,False,False,True,False,False,False,False,False
14227979,1.08459989,True,False,False,False,False,False,False,False,False,False
14227980,1782.5112397673568,False,False,False,False,False,True,False,False,False,False
14227981,957.2105797872841,False,False,False,False,True,False,False,False,False,False
14227982,772.4142048000783,False,False,False,False,True,False,False,False,False,False
14227984,807.8822040000821,False,False,False,False,True,False,False,False,False,False
14227985,49.9990414278,True,False,False,False,False,False,False,False,False,False
14227986,718.312235,False,False,False,False,True,False,False,False,False,False
14227989,926.934000094094,False,False,False,False,True,False,False,False,False,False
14227990,140.45416741424341,False,False,True,False,False,False,False,False,False,False
14227991,1067.3881674001082,False,False,False,False,True,False,False,False,False,False
14227992,10989.253217700001,False,False,False,False,False,False,False,False,True,False
14227995,5847.4260711,False,False,False,False,False,False,False,True,False,False
14227997,663.319887,False,False,False,False,True,False,False,False,False,False
