tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227729,49.999070387595,True,False,False,False,False,False,False,False,False,False
14227730,158.467847841472,False,False,True,False,False,False,False,False,False,False
14227731,393.20029158053984,False,False,False,True,False,False,False,False,False,False
14227732,381.3185610186645,False,False,False,True,False,False,False,False,False,False
14227733,67.01410724434162,False,True,False,False,False,False,False,False,False,False
14227735,156.460934590388,False,False,True,False,False,False,False,False,False,False
14227736,43.53809494558896,True,False,False,False,False,False,False,False,False,False
14227737,15.209538420951585,True,False,False,False,False,False,False,False,False,False
14227739,1.999788754668,True,False,False,False,False,False,False,False,False,False
14227741,1000.539173116467,False,False,False,False,True,False,False,False,False,False
14227743,13.3681207264699,True,False,False,False,False,False,False,False,False,False
14227744,36.631830478315,True,False,False,False,False,False,False,False,False,False
14227746,200.000325955985,False,False,False,True,False,False,False,False,False,False
14227749,25.909429645096,True,False,False,False,False,False,False,False,False,False
14227754,4.999053521823495,True,False,False,False,False,False,False,False,False,False
14227755,4.999053521823495,True,False,False,False,False,False,False,False,False,False
14227784,224.28999478319872,False,False,False,True,False,False,False,False,False,False
14227786,17.11907745909557,True,False,False,False,False,False,False,False,False,False
14227789,499.99994935198254,False,False,False,True,False,False,False,False,False,False
14227797,57.31912289194153,False,True,False,False,False,False,False,False,False,False
14227798,30.899239170680396,True,False,False,False,False,False,False,False,False,False
14227803,199.99982114171956,False,False,True,False,False,False,False,False,False,False
14227804,374.0580669562632,False,False,False,True,False,False,False,False,False,False
14227805,1088.53597566989,False,False,False,False,True,False,False,False,False,False
14227806,537.4052632974805,False,False,False,False,True,False,False,False,False,False
14227807,1019.16666168636,False,False,False,False,True,False,False,False,False,False
14227808,751.0169866213839,False,False,False,False,True,False,False,False,False,False
14227809,378.9787397563148,False,False,False,True,False,False,False,False,False,False
14227810,670.1440042275923,False,False,False,False,True,False,False,False,False,False
14227812,4.999652404756316,True,False,False,False,False,False,False,False,False,False
14227814,273.5939505597975,False,False,False,True,False,False,False,False,False,False
14227815,554.0642340925999,False,False,False,False,True,False,False,False,False,False
14227816,352.2126972101933,False,False,False,True,False,False,False,False,False,False
14227817,376.9526356675668,False,False,False,True,False,False,False,False,False,False
14227818,4946.906040000001,False,False,False,False,False,False,True,False,False,False
14227819,770.728039010679,False,False,False,False,True,False,False,False,False,False
14227820,384.8749905807306,False,False,False,True,False,False,False,False,False,False
14227821,915.2048569502199,False,False,False,False,True,False,False,False,False,False
14227822,886.519480018368,False,False,False,False,True,False,False,False,False,False
14227823,1516.7820670375968,False,False,False,False,False,True,False,False,False,False
14227824,1284.2701393269176,False,False,False,False,True,False,False,False,False,False
14227825,1244.6936502827716,False,False,False,False,True,False,False,False,False,False
14227826,754.9307618816606,False,False,False,False,True,False,False,False,False,False
14227827,1533.613592532475,False,False,False,False,False,True,False,False,False,False
14227828,886.5279347359232,False,False,False,False,True,False,False,False,False,False
14227829,1567.273839774984,False,False,False,False,False,True,False,False,False,False
14227830,13230.721040855871,False,False,False,False,False,False,False,False,True,False
14227831,405.6315767444071,False,False,False,True,False,False,False,False,False,False
14227832,370.0151456156672,False,False,False,True,False,False,False,False,False,False
14227833,224.35328804460792,False,False,False,True,False,False,False,False,False,False
14227836,299.9999178133017,False,False,False,True,False,False,False,False,False,False
14227837,99.99995203775781,False,True,False,False,False,False,False,False,False,False
14227839,44.99942520089046,True,False,False,False,False,False,False,False,False,False
14227840,399.99966351420005,False,False,False,True,False,False,False,False,False,False
14227843,99.99938138287858,False,True,False,False,False,False,False,False,False,False
14227845,99.99934089726847,False,True,False,False,False,False,False,False,False,False
14227847,711.359207927928,False,False,False,False,True,False,False,False,False,False
14227848,264.6305653437155,False,False,False,True,False,False,False,False,False,False
14227851,49.99966032723929,True,False,False,False,False,False,False,False,False,False
14227852,99.99932065447858,False,True,False,False,False,False,False,False,False,False
14227853,499.9995672690927,False,False,False,True,False,False,False,False,False,False
14227859,165.20920732406168,False,False,True,False,False,False,False,False,False,False
14227864,24.999331103569702,True,False,False,False,False,False,False,False,False,False
14227867,194.979824,False,False,True,False,False,False,False,False,False,False
14227868,699.999976,False,False,False,False,True,False,False,False,False,False
14227869,4.99928,True,False,False,False,False,False,False,False,False,False
14227873,599.9994952713,False,False,False,False,True,False,False,False,False,False
14227875,367.43920980054963,False,False,False,True,False,False,False,False,False,False
14227876,528.9746961964465,False,False,False,False,True,False,False,False,False,False
14227877,987.7490122500001,False,False,False,False,True,False,False,False,False,False
14227878,115.8363187049916,False,False,True,False,False,False,False,False,False,False
14227879,159.9994738713557,False,False,True,False,False,False,False,False,False,False
14227885,523.571011360044,False,False,False,False,True,False,False,False,False,False
14227886,477.6982878062905,False,False,False,True,False,False,False,False,False,False
14227887,249.99999743197972,False,False,False,True,False,False,False,False,False,False
14227888,322.8497153229,False,False,False,True,False,False,False,False,False,False
14227889,49.9997109393,True,False,False,False,False,False,False,False,False,False
14227892,282.797216,False,False,False,True,False,False,False,False,False,False
14227893,891.04097769408,False,False,False,False,True,False,False,False,False,False
14227894,381.172127671797,False,False,False,True,False,False,False,False,False,False
14227895,886.1053882645444,False,False,False,False,True,False,False,False,False,False
14227896,722.746653895434,False,False,False,False,True,False,False,False,False,False
14227897,1652.6074263869677,False,False,False,False,False,True,False,False,False,False
14227898,183.53017660367388,False,False,True,False,False,False,False,False,False,False
14227899,101.10507663231436,False,False,True,False,False,False,False,False,False,False
14227901,0.9999108527181549,True,False,False,False,False,False,False,False,False,False
14227902,38.93954179237164,True,False,False,False,False,False,False,False,False,False
14227903,88.459363131414,False,True,False,False,False,False,False,False,False,False
14227904,5.858478578608023,True,False,False,False,False,False,False,False,False,False
14227905,9.999624862066364,True,False,False,False,False,False,False,False,False,False
14227909,99.99960536795639,False,True,False,False,False,False,False,False,False,False
14227911,358.4257232657318,False,False,False,True,False,False,False,False,False,False
14227912,339.6176876541631,False,False,False,True,False,False,False,False,False,False
14227913,680.2284113206279,False,False,False,False,True,False,False,False,False,False
14227914,621.7279681373478,False,False,False,False,True,False,False,False,False,False
